CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"/C/Program Files/Sublime Text/sublime_text.exe" --crawl 5612crawl146s0 5612crawl146r0 5612 "/C/Users/BULFU/AppData/Roaming/Sublime Text" "/C/Users/BULFU/AppData/Local/Sublime Text" "/C/Program Files/Sublime Text/Packages" , 20231031163443.877187+000 , C:\Program Files\Sublime Text\sublime_text.exe,5612 , 3936 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163543.932165+000 , C:\Windows\system32\cscript.exe,3860 , 3140 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163645.133732+000 , C:\Windows\system32\cscript.exe,3860 , 1668 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031163646.198203+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 1032 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20231031163737.892942+000 , C:\Windows\System32\RuntimeBroker.exe,700 , 4724 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
None , 20231031163737.346469+000 , None,572 , 5408 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca , 20231031163737.579053+000 , C:\Windows\system32\backgroundTaskHost.exe,700 , 612 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163746.292025+000 , C:\Windows\system32\cscript.exe,3860 , 5944 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"/C/Program Files/Sublime Text/sublime_text.exe" --crawl 5612crawl155s0 5612crawl155r0 5612 "/C/Users/BULFU/AppData/Roaming/Sublime Text" "/C/Users/BULFU/AppData/Local/Sublime Text" "/C/Program Files/Sublime Text/Packages" , 20231031163747.405462+000 , C:\Program Files\Sublime Text\sublime_text.exe,5612 , 3980 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163847.492735+000 , C:\Windows\system32\cscript.exe,3860 , 4392 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031163848.568072+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 5532 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
C:\Windows\System32\mousocoreworker.exe -Embedding , 20231031163925.237519+000 , None,700 , 1440 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
taskhostw.exe Install $(Arg0) , 20231031163925.379680+000 , C:\Windows\system32\taskhostw.exe,968 , 3544 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
C:\Windows\servicing\TrustedInstaller.exe , 20231031163925.894957+000 , C:\Windows\servicing\TrustedInstaller.exe,572 , 5888 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
taskhostw.exe , 20231031163926.505075+000 , C:\Windows\system32\taskhostw.exe,968 , 1716 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3562_none_7e0523f67c93b82a\TiWorker.exe -Embedding , 20231031163928.332041+000 , None,700 , 3928 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
taskhostw.exe /RuntimeWide , 20231031163930.126798+000 , C:\Windows\system32\taskhostw.exe,968 , 2980 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
None , 20231031163930.549647+000 , None,572 , 5588 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe" /RuntimeWide /StopEvent:488 , 20231031163936.995160+000 , None,2980 , 5392 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20231031163939.821995+000 , None,5392 , 2312 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe" RemoveTaskDelayStartTrigger /LegacyServiceBehavior , 20231031163940.553946+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,5392 , 5628 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe" ExecuteQueuedItems /LegacyServiceBehavior , 20231031163941.437321+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,5392 , 4400 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 21c -InterruptEvent 0 -NGENProcess 208 -Pipe 218 -Comment "NGen Worker Process" , 20231031163945.296564+000 , None,4400 , 5980 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163948.652597+000 , C:\Windows\system32\cscript.exe,3860 , 4504 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2b8 -InterruptEvent 0 -NGENProcess 2ac -Pipe 2a4 -Comment "NGen Worker Process" , 20231031163951.681813+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 4772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2b8 -InterruptEvent 0 -NGENProcess 2d0 -Pipe 2e0 -Comment "NGen Worker Process" , 20231031163954.839997+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3512 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2c0 -InterruptEvent 0 -NGENProcess 2dc -Pipe 2b8 -Comment "NGen Worker Process" , 20231031163955.779814+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5648 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2c0 -InterruptEvent 0 -NGENProcess 2d0 -Pipe 2e8 -Comment "NGen Worker Process" , 20231031163956.542665+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 4072 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2e4 -InterruptEvent 0 -NGENProcess 2b4 -Pipe 2c0 -Comment "NGen Worker Process" , 20231031163959.048782+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3832 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2e4 -InterruptEvent 0 -NGENProcess 2d0 -Pipe 2f0 -Comment "NGen Worker Process" , 20231031164005.149231+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2112 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2ec -InterruptEvent 0 -NGENProcess 2d4 -Pipe 2e4 -Comment "NGen Worker Process" , 20231031164005.852201+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2cc -InterruptEvent 0 -NGENProcess 2f8 -Pipe 2ec -Comment "NGen Worker Process" , 20231031164010.286335+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5396 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2d8 -InterruptEvent 0 -NGENProcess 2b4 -Pipe 304 -Comment "NGen Worker Process" , 20231031164014.243284+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3068 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2cc -InterruptEvent 0 -NGENProcess 2f4 -Pipe 2d8 -Comment "NGen Worker Process" , 20231031164014.866292+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5484 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2f4 -InterruptEvent 0 -NGENProcess 308 -Pipe 2cc -Comment "NGen Worker Process" , 20231031164018.066231+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3056 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 30c -InterruptEvent 0 -NGENProcess 2dc -Pipe 2f4 -Comment "NGen Worker Process" , 20231031164021.369421+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5128 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 314 -InterruptEvent 0 -NGENProcess 300 -Pipe 30c -Comment "NGen Worker Process" , 20231031164022.527538+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5064 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
